cell_line,bliss_syn,loewe_syn_linear,loewe_syn,synergy_area_restrict_pred_mk2,synergy_area_finite_inner_pred_mk2,synergy_area_finite_outer_pred_mk2,synergy_area_broad_pred_mk2,synergy_area_restrict_pred_chek1,synergy_area_finite_inner_pred_chek1,synergy_area_finite_outer_pred_chek1,synergy_area_broad_pred_chek1
Caco2,-0.017475733333333344,1.071084821560711,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caco2et KRASG12V pool- -3rep,-0.02278833333333336,1.0969570833250668,NA,-7.789203950736814,-7.501216721612948,14.560930904378154,-7.501216721612948,-4.899676100233762,-4.899676100233762,-4.899676100233762,-4.899676100233762
Caco2etKRASwtpool-,0.005434400000000039,1.1369221188359415,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caco2etKRASwtpool+dox,-0.01712987777777781,1.031585116621877,NA,-1.1794728960563248,-1.1794728960563248,-1.1794728960563248,-1.1794728960563248,11.327639077318167,11.327639077318167,11.327639077318167,12.700229290756624
Caco2KRASpool+,-0.07495267222222221,0.9639603991759148,NA,NA,NA,NA,NA,NA,NA,NA,NA
Car1,-0.0789350222222222,0.9356326782230561,NA,0.8072230457116234,0.8072230457116234,0.8072230457116234,0.889392738422174,0.5759023667999941,0.5759023667999941,0.5759023667999941,0.5759023667999941
DLD1et_wt,-0.07462276111111112,0.8813529362277245,NA,3.449989508913177,5.733516772620192,13.51067688040223,9.9088667726204,3.39398358489143,3.9631067427920925,4.85377078257477,6.462206742792318
DLD1etKRASG13D,-0.013465555555555554,1.1227809340129946,NA,-0.09210561966321373,-0.07872257384181225,0.029673734675361274,-0.07872257384181225,-0.47899060272885663,-0.47899060272885663,-0.47899060272885663,-0.47899060272885663
DLD1mut,-0.03362741666666668,1.0719944599350064,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLD1wt,-0.015552265625000011,1.0660483323054581,NA,NA,NA,NA,NA,NA,NA,NA,NA
HCEC-1ct,0.013554750000000008,1.0710912182293566,NA,-0.02437257458587585,-0.02437257458587585,-0.02437257458587585,-0.02437257458587585,-0.7464007999845244,-0.7464007999845244,-0.7464007999845244,-0.7464007999845244
HCT116,-0.05933809374999999,0.9698922467242044,NA,0.7398821163571583,0.770071051685548,0.7794477122625807,1.2223710516855704,0.6046701807054546,0.6046701807054546,0.6046701807054546,0.6046701807054546
HT29typ,0.06704066666666668,1.208744305006411,NA,0,0,0,0,-0.9231100031370261,-0.9231100031370261,-0.9231100031370261,-0.9231100031370261
LS180,-0.03795149999999997,0.9406087391789759,NA,0.08882942246145017,2.80581487446229,20077099.50733723,7.339284874462237,-15.649495417684648,-15.649495417684648,-15.649495417684648,-15.649495417684648
SW403,-0.1510332888888889,0.7704007416173586,NA,0.10414975888843614,8.303503793817391,10382862478473038e46,18.42945379381706,NA,NA,NA,17.22244999999998
SW48-,-0.027753444444444445,1.1144421768527792,NA,-0.10454648635135788,-0.10454648635135788,-0.10454648635135788,-0.10454648635135788,-0.069081384013856,-0.069081384013856,-0.069081384013856,-0.069081384013856
SW480,-0.062106944444444395,0.873026576947143,NA,1.1394654395307953,1.1394654395307953,1.1394654395307953,1.1394654395307953,-0.6178535482024472,0.14690113817414385,24.301026486601586,0.8237011381752382
SW620,-0.03865046111111109,1.0284166711058782,NA,-0.08398035445881114,-0.08136523225962833,-0.07298874640428199,-0.08136523225962833,-0.5376573674965357,-0.5376573674965357,-0.5376573674965357,-0.5376573674965357
SW837,0.03615413888888888,1.2038847002324737,NA,-0.47792585670613813,-0.47792585670613813,-0.47792585670613813,-0.47792585670613813,-1.9727591248799285,-1.9727591248799285,-1.9727591248799285,-1.9727591248799285
SW948 (3rep),-0.0207587333333333,2.0718380853139475,2.3017994128661896,NA,NA,NA,NA,NA,NA,NA,NA
WiDR,0.02970783333333333,1.229043758515043,NA,-0.5415572488979925,-0.5415572488979925,-0.5415572488979925,-0.5415572488979925,-1.3381647363886202,-1.3381647363886202,-1.3381647363886202,-1.3381647363886202
