conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38,DNArepair
"wt, no DNAdam",0,model1100.bnet,,0.812,,0.051,0.05,0.051,,,,0.812,0.812,,0.051,0.051,0.812,,0.812,
"kras$\Delta$, no DNAdam, 0/0",0,model1100.bnet,,1.0,,0.049,0.049,0.049,,,,0.816,1.0,,0.049,0.049,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",0,model1100.bnet,0.822,1.0,0.876,0.002,0.002,0.002,0.822,0.822,0.822,0.869,1.0,0.822,0.002,0.002,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, chek1i/0",0,model1100.bnet,0.822,1.0,0.876,0.002,0.002,0.002,,0.822,0.822,0.859,1.0,0.822,0.002,0.002,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",0,model1100.bnet,0.82,1.0,0.883,0.002,0.002,0.002,,0.82,0.82,0.859,1.0,0.82,0.002,0.002,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",0,model1100.bnet,0.828,1.0,0.89,0.002,0.002,0.002,,0.828,0.828,0.863,1.0,,0.003,0.002,1.0,0.828,1.0,
"wt, no DNAdam",1,model1100.bnet,,0.831,,0.04,0.04,0.04,,,,0.831,0.831,,0.04,0.04,0.831,,0.831,
"kras$\Delta$, no DNAdam, 0/0",1,model1100.bnet,,1.0,,0.057,0.057,0.057,,,,0.803,1.0,,0.057,0.057,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",1,model1100.bnet,0.834,1.0,0.882,0.002,0.002,0.002,0.834,0.834,0.834,0.865,1.0,0.834,0.002,0.002,1.0,0.834,1.0,
"kras$\Delta$, DNAdam, chek1i/0",1,model1100.bnet,0.816,1.0,0.87,0.001,0.001,0.001,,0.816,0.816,0.858,1.0,0.816,0.001,0.001,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",1,model1100.bnet,0.816,1.0,0.871,0.003,0.003,0.003,,0.816,0.816,0.861,1.0,0.816,0.003,0.003,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",1,model1100.bnet,0.82,1.0,0.876,0.002,0.002,0.002,,0.82,0.82,0.864,1.0,,0.004,0.002,1.0,0.82,1.0,
"wt, no DNAdam",2,model1100.bnet,,0.806,,0.054,0.054,0.054,,,,0.806,0.806,,0.054,0.054,0.806,,0.806,
"kras$\Delta$, no DNAdam, 0/0",2,model1100.bnet,,1.0,,0.055,0.055,0.055,,,,0.788,1.0,,0.054,0.054,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",2,model1100.bnet,0.826,1.0,0.878,0.001,0.001,0.001,0.826,0.826,0.826,0.858,1.0,0.826,0.002,0.002,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, chek1i/0",2,model1100.bnet,0.821,1.0,0.868,0.001,0.001,0.001,,0.821,0.821,0.858,1.0,0.821,0.001,0.001,1.0,0.821,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",2,model1100.bnet,0.814,1.0,0.881,0.003,0.003,0.003,,0.814,0.814,0.865,1.0,0.814,0.003,0.003,1.0,0.814,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",2,model1100.bnet,0.83,1.0,0.888,0.002,0.002,0.002,,0.83,0.83,0.867,1.0,,0.002,0.002,1.0,0.83,1.0,
"wt, no DNAdam",3,model1100.bnet,,0.813,,0.047,0.047,0.047,,,,0.813,0.813,,0.047,0.047,0.813,,0.813,
"kras$\Delta$, no DNAdam, 0/0",3,model1100.bnet,,1.0,,0.049,0.049,0.049,,,,0.799,1.0,,0.049,0.049,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",3,model1100.bnet,0.824,1.0,0.88,0.001,0.001,0.001,0.824,0.824,0.824,0.864,1.0,0.824,0.002,0.001,1.0,0.824,1.0,
"kras$\Delta$, DNAdam, chek1i/0",3,model1100.bnet,0.825,1.0,0.879,0.001,0.001,0.001,,0.825,0.825,0.857,1.0,0.825,0.002,0.001,1.0,0.825,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",3,model1100.bnet,0.828,1.0,0.88,,,,,0.828,0.828,0.862,1.0,0.828,0.002,,1.0,0.828,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",3,model1100.bnet,0.812,1.0,0.863,0.003,0.003,0.003,,0.812,0.812,0.87,1.0,,0.004,0.003,1.0,0.812,1.0,
"wt, no DNAdam",4,model1100.bnet,,0.808,,0.041,0.041,0.041,,,,0.808,0.808,,0.041,0.041,0.808,,0.808,
"kras$\Delta$, no DNAdam, 0/0",4,model1100.bnet,,1.0,,0.046,0.046,0.046,,,,0.806,1.0,,0.046,0.046,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",4,model1100.bnet,0.819,1.0,0.878,0.002,0.002,0.002,0.819,0.819,0.819,0.858,1.0,0.819,0.002,0.002,1.0,0.819,1.0,
"kras$\Delta$, DNAdam, chek1i/0",4,model1100.bnet,0.832,1.0,0.884,0.002,0.002,0.002,,0.832,0.832,0.86,1.0,0.832,0.003,0.002,1.0,0.832,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",4,model1100.bnet,0.812,1.0,0.872,0.004,0.004,0.004,,0.812,0.812,0.865,1.0,0.812,0.005,0.004,1.0,0.812,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",4,model1100.bnet,0.834,1.0,0.89,0.0,0.0,0.0,,0.834,0.834,0.883,1.0,,0.0,0.0,1.0,0.834,1.0,
"wt, no DNAdam",5,model1100.bnet,,0.804,,0.055,0.055,0.055,,,,0.804,0.804,,0.055,0.055,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",5,model1100.bnet,,1.0,,0.045,0.045,0.045,,,,0.812,1.0,,0.045,0.045,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",5,model1100.bnet,0.815,1.0,0.872,0.002,0.002,0.002,0.815,0.815,0.815,0.863,1.0,0.815,0.003,0.002,1.0,0.815,1.0,
"kras$\Delta$, DNAdam, chek1i/0",5,model1100.bnet,0.808,1.0,0.872,0.002,0.002,0.002,,0.808,0.808,0.862,1.0,0.808,0.004,0.002,1.0,0.808,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",5,model1100.bnet,0.826,1.0,0.89,0.0,0.0,0.0,,0.826,0.826,0.88,1.0,0.826,0.002,0.0,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",5,model1100.bnet,0.814,1.0,0.873,0.002,0.002,0.002,,0.814,0.814,0.862,1.0,,0.002,0.002,1.0,0.814,1.0,
"wt, no DNAdam",6,model1100.bnet,,0.798,,0.048,0.048,0.048,,,,0.798,0.798,,0.048,0.048,0.798,,0.798,
"kras$\Delta$, no DNAdam, 0/0",6,model1100.bnet,,1.0,,0.051,0.051,0.051,,,,0.814,1.0,,0.051,0.051,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",6,model1100.bnet,0.812,1.0,0.87,0.001,0.001,0.001,0.812,0.812,0.812,0.849,1.0,0.812,0.002,0.001,1.0,0.812,1.0,
"kras$\Delta$, DNAdam, chek1i/0",6,model1100.bnet,0.828,1.0,0.88,0.002,0.002,0.002,,0.828,0.828,0.859,1.0,0.828,0.002,0.002,1.0,0.828,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",6,model1100.bnet,0.813,1.0,0.884,0.003,0.003,0.003,,0.813,0.813,0.854,1.0,0.813,0.006,0.004,1.0,0.813,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",6,model1100.bnet,0.812,1.0,0.864,0.002,0.002,0.002,,0.812,0.812,0.855,1.0,,0.003,0.002,1.0,0.812,1.0,
"wt, no DNAdam",7,model1100.bnet,,0.792,,0.054,0.054,0.054,,,,0.792,0.792,,0.054,0.054,0.792,,0.792,
"kras$\Delta$, no DNAdam, 0/0",7,model1100.bnet,,1.0,,0.05,0.05,0.05,,,,0.814,1.0,,0.05,0.05,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",7,model1100.bnet,0.816,1.0,0.875,,,,0.816,0.816,0.816,0.86,1.0,0.816,0.002,,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/0",7,model1100.bnet,0.814,1.0,0.867,0.002,0.002,0.002,,0.814,0.814,0.869,1.0,0.814,0.005,0.002,1.0,0.814,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",7,model1100.bnet,0.828,1.0,0.883,0.002,0.002,0.002,,0.828,0.828,0.874,1.0,0.828,0.004,0.002,1.0,0.828,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",7,model1100.bnet,0.829,1.0,0.891,0.0,0.0,0.0,,0.829,0.829,0.856,1.0,,0.002,0.0,1.0,0.829,1.0,
"wt, no DNAdam",8,model1100.bnet,,0.804,,0.054,0.054,0.054,,,,0.804,0.804,,0.054,0.054,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",8,model1100.bnet,,1.0,,0.052,0.052,0.052,,,,0.8,1.0,,0.052,0.052,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",8,model1100.bnet,0.817,1.0,0.872,0.004,0.004,0.004,0.817,0.817,0.817,0.864,1.0,0.817,0.006,0.004,1.0,0.817,1.0,
"kras$\Delta$, DNAdam, chek1i/0",8,model1100.bnet,0.826,1.0,0.876,0.001,0.001,0.001,,0.826,0.826,0.86,1.0,0.826,0.002,0.001,1.0,0.826,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",8,model1100.bnet,0.82,1.0,0.882,0.0,0.0,0.0,,0.82,0.82,0.855,1.0,0.82,0.002,0.001,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",8,model1100.bnet,0.804,1.0,0.87,0.001,0.001,0.001,,0.804,0.804,0.854,1.0,,0.003,0.001,1.0,0.804,1.0,
"wt, no DNAdam",9,model1100.bnet,,0.808,,0.05,0.05,0.05,,,,0.808,0.808,,0.05,0.05,0.808,,0.808,
"kras$\Delta$, no DNAdam, 0/0",9,model1100.bnet,,1.0,,0.054,0.054,0.054,,,,0.812,1.0,,0.054,0.054,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",9,model1100.bnet,0.82,1.0,0.872,0.001,0.001,0.001,0.82,0.82,0.82,0.864,1.0,0.82,0.002,0.001,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, chek1i/0",9,model1100.bnet,0.83,1.0,0.88,0.002,0.002,0.002,,0.83,0.83,0.87,1.0,0.83,0.003,0.002,1.0,0.83,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",9,model1100.bnet,0.816,1.0,0.876,0.002,0.002,0.002,,0.816,0.816,0.864,1.0,0.816,0.004,0.003,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",9,model1100.bnet,0.803,1.0,0.865,0.004,0.004,0.004,,0.803,0.803,0.864,1.0,,0.004,0.004,1.0,0.803,1.0,
"wt, no DNAdam",10,model1100.bnet,,0.804,,0.05,0.05,0.05,,,,0.804,0.804,,0.05,0.05,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",10,model1100.bnet,,1.0,,0.055,0.055,0.055,,,,0.795,1.0,,0.055,0.055,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",10,model1100.bnet,0.816,1.0,0.874,0.0,0.0,0.0,0.816,0.816,0.816,0.866,1.0,0.816,0.0,0.0,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/0",10,model1100.bnet,0.83,1.0,0.887,0.004,0.004,0.004,,0.83,0.83,0.866,1.0,0.83,0.004,0.004,1.0,0.83,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",10,model1100.bnet,0.803,1.0,0.869,0.003,0.003,0.003,,0.803,0.803,0.86,1.0,0.803,0.004,0.003,1.0,0.803,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",10,model1100.bnet,0.806,1.0,0.867,0.002,0.002,0.002,,0.806,0.806,0.86,1.0,,0.004,0.002,1.0,0.806,1.0,
"wt, no DNAdam",11,model1100.bnet,,0.798,,0.046,0.046,0.046,,,,0.798,0.798,,0.046,0.046,0.798,,0.798,
"kras$\Delta$, no DNAdam, 0/0",11,model1100.bnet,,1.0,,0.049,0.049,0.049,,,,0.796,1.0,,0.049,0.049,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",11,model1100.bnet,0.812,1.0,0.87,0.002,0.002,0.002,0.812,0.812,0.812,0.852,1.0,0.812,0.004,0.002,1.0,0.812,1.0,
"kras$\Delta$, DNAdam, chek1i/0",11,model1100.bnet,0.814,1.0,0.862,0.002,0.002,0.002,,0.814,0.814,0.858,1.0,0.814,0.002,0.002,1.0,0.814,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",11,model1100.bnet,0.822,1.0,0.871,0.001,0.001,0.001,,0.822,0.822,0.878,1.0,0.822,0.002,0.001,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",11,model1100.bnet,0.808,1.0,0.863,0.003,0.003,0.003,,0.808,0.808,0.849,1.0,,0.005,0.004,1.0,0.808,1.0,
"wt, no DNAdam",12,model1100.bnet,,0.812,,0.047,0.047,0.047,,,,0.812,0.812,,0.047,0.047,0.812,,0.812,
"kras$\Delta$, no DNAdam, 0/0",12,model1100.bnet,,1.0,,0.049,0.049,0.049,,,,0.794,1.0,,0.049,0.049,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",12,model1100.bnet,0.818,1.0,0.879,0.002,0.002,0.002,0.818,0.818,0.818,0.857,1.0,0.818,0.004,0.002,1.0,0.818,1.0,
"kras$\Delta$, DNAdam, chek1i/0",12,model1100.bnet,0.823,1.0,0.883,0.002,0.002,0.002,,0.823,0.823,0.856,1.0,0.823,0.006,0.002,1.0,0.823,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",12,model1100.bnet,0.818,1.0,0.878,0.002,0.002,0.002,,0.818,0.818,0.87,1.0,0.818,0.006,0.002,1.0,0.818,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",12,model1100.bnet,0.828,1.0,0.885,0.001,0.001,0.001,,0.828,0.828,0.866,1.0,,0.006,0.002,1.0,0.828,1.0,
"wt, no DNAdam",13,model1100.bnet,,0.792,,0.052,0.052,0.052,,,,0.792,0.792,,0.052,0.052,0.792,,0.792,
"kras$\Delta$, no DNAdam, 0/0",13,model1100.bnet,,1.0,,0.048,0.048,0.048,,,,0.812,1.0,,0.048,0.048,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",13,model1100.bnet,0.828,1.0,0.878,,,,0.828,0.828,0.828,0.856,1.0,0.828,0.003,0.001,1.0,0.828,1.0,
"kras$\Delta$, DNAdam, chek1i/0",13,model1100.bnet,0.807,1.0,0.874,0.002,0.002,0.002,,0.807,0.807,0.854,1.0,0.807,0.007,0.003,1.0,0.807,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",13,model1100.bnet,0.822,1.0,0.883,0.002,0.002,0.002,,0.822,0.822,0.864,1.0,0.822,0.005,0.002,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",13,model1100.bnet,0.809,1.0,0.868,0.002,0.002,0.002,,0.809,0.809,0.858,1.0,,0.005,0.002,1.0,0.809,1.0,
"wt, no DNAdam",14,model1100.bnet,,0.812,,0.046,0.046,0.046,,,,0.812,0.812,,0.046,0.046,0.812,,0.812,
"kras$\Delta$, no DNAdam, 0/0",14,model1100.bnet,,1.0,,0.046,0.046,0.046,,,,0.817,1.0,,0.046,0.046,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",14,model1100.bnet,0.813,1.0,0.878,0.003,0.003,0.003,0.813,0.813,0.813,0.869,1.0,0.813,0.005,0.003,1.0,0.813,1.0,
"kras$\Delta$, DNAdam, chek1i/0",14,model1100.bnet,0.804,1.0,0.869,0.001,0.001,0.001,,0.804,0.804,0.864,1.0,0.804,0.006,0.001,1.0,0.804,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",14,model1100.bnet,0.81,1.0,0.867,0.0,0.0,0.0,,0.81,0.81,0.862,1.0,0.81,0.008,0.001,1.0,0.81,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",14,model1100.bnet,0.834,1.0,0.889,0.002,0.002,0.002,,0.834,0.834,0.856,1.0,,0.007,0.002,1.0,0.834,1.0,
"wt, no DNAdam",15,model1100.bnet,,0.802,,0.051,0.051,0.051,,,,0.802,0.802,,0.051,0.051,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",15,model1100.bnet,,1.0,,0.06,0.06,0.06,,,,0.802,1.0,,0.06,0.06,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",15,model1100.bnet,0.82,1.0,0.879,0.001,0.001,0.001,0.82,0.82,0.82,0.857,1.0,0.82,0.006,0.002,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, chek1i/0",15,model1100.bnet,0.82,1.0,0.878,0.002,0.002,0.002,,0.82,0.82,0.872,1.0,0.82,0.007,0.002,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",15,model1100.bnet,0.814,1.0,0.879,0.0,0.0,0.0,,0.814,0.814,0.853,1.0,0.814,0.009,0.002,1.0,0.814,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",15,model1100.bnet,0.819,1.0,0.886,0.002,0.002,0.002,,0.819,0.819,0.862,1.0,,0.01,0.003,1.0,0.819,1.0,
"wt, no DNAdam",16,model1100.bnet,,0.813,,0.052,0.052,0.052,,,,0.813,0.813,,0.052,0.052,0.813,,0.813,
"kras$\Delta$, no DNAdam, 0/0",16,model1100.bnet,,1.0,,0.054,0.054,0.054,,,,0.796,1.0,,0.054,0.054,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",16,model1100.bnet,0.819,1.0,0.876,0.002,0.002,0.002,0.819,0.819,0.819,0.858,1.0,0.819,0.006,0.002,1.0,0.819,1.0,
"kras$\Delta$, DNAdam, chek1i/0",16,model1100.bnet,0.822,1.0,0.878,0.002,0.002,0.002,,0.822,0.822,0.846,1.0,0.822,0.007,0.002,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",16,model1100.bnet,0.812,1.0,0.869,0.002,0.002,0.002,,0.812,0.812,0.849,1.0,0.812,0.006,0.002,1.0,0.812,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",16,model1100.bnet,0.827,1.0,0.878,0.002,0.002,0.002,,0.827,0.827,0.868,1.0,,0.007,0.002,1.0,0.827,1.0,
"wt, no DNAdam",17,model1100.bnet,,0.79,,0.054,0.054,0.054,,,,0.79,0.79,,0.054,0.054,0.79,,0.79,
"kras$\Delta$, no DNAdam, 0/0",17,model1100.bnet,,1.0,,0.05,0.05,0.05,,,,0.804,1.0,,0.05,0.05,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",17,model1100.bnet,0.816,1.0,0.878,0.003,0.003,0.003,0.816,0.816,0.816,0.858,1.0,0.816,0.008,0.003,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/0",17,model1100.bnet,0.81,1.0,0.872,0.004,0.004,0.004,,0.81,0.81,0.854,1.0,0.81,0.012,0.004,1.0,0.81,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",17,model1100.bnet,0.814,1.0,0.872,,,,,0.814,0.814,0.856,1.0,0.814,0.006,,1.0,0.814,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",17,model1100.bnet,0.809,1.0,0.868,,,,,0.809,0.809,0.857,1.0,,0.007,,1.0,0.809,1.0,
"wt, no DNAdam",18,model1100.bnet,,0.828,,0.041,0.041,0.041,,,,0.828,0.828,,0.041,0.041,0.828,,0.828,
"kras$\Delta$, no DNAdam, 0/0",18,model1100.bnet,,1.0,,0.048,0.048,0.048,,,,0.8,1.0,,0.048,0.048,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",18,model1100.bnet,0.808,1.0,0.872,0.002,0.002,0.002,0.808,0.808,0.808,0.854,1.0,0.808,0.004,0.002,1.0,0.808,1.0,
"kras$\Delta$, DNAdam, chek1i/0",18,model1100.bnet,0.804,1.0,0.874,0.002,0.002,0.002,,0.804,0.804,0.872,1.0,0.804,0.005,0.002,1.0,0.804,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",18,model1100.bnet,0.815,1.0,0.866,0.002,0.002,0.002,,0.815,0.815,0.859,1.0,0.815,0.004,0.002,1.0,0.815,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",18,model1100.bnet,0.81,1.0,0.864,0.002,0.002,0.002,,0.81,0.81,0.862,1.0,,0.003,0.002,1.0,0.81,1.0,
"wt, no DNAdam",19,model1100.bnet,,0.81,,0.049,0.049,0.049,,,,0.81,0.81,,0.049,0.049,0.81,,0.81,
"kras$\Delta$, no DNAdam, 0/0",19,model1100.bnet,,1.0,,0.054,0.054,0.054,,,,0.798,1.0,,0.054,0.054,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",19,model1100.bnet,0.823,1.0,0.881,0.0,0.0,0.0,0.823,0.823,0.823,0.861,1.0,0.823,0.001,0.0,1.0,0.823,1.0,
"kras$\Delta$, DNAdam, chek1i/0",19,model1100.bnet,0.83,1.0,0.886,0.002,0.002,0.002,,0.83,0.83,0.869,1.0,0.83,0.004,0.002,1.0,0.83,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",19,model1100.bnet,0.822,1.0,0.873,0.004,0.004,0.004,,0.822,0.822,0.872,1.0,0.822,0.006,0.004,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",19,model1100.bnet,0.829,1.0,0.883,0.002,0.002,0.002,,0.829,0.829,0.854,1.0,,0.003,0.003,1.0,0.829,1.0,
"wt, no DNAdam",20,model1100.bnet,,0.82,,0.044,0.044,0.044,,,,0.82,0.82,,0.044,0.044,0.82,,0.82,
"kras$\Delta$, no DNAdam, 0/0",20,model1100.bnet,,1.0,,0.048,0.048,0.048,,,,0.812,1.0,,0.048,0.048,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",20,model1100.bnet,0.816,1.0,0.873,0.003,0.003,0.003,0.816,0.816,0.816,0.862,1.0,0.816,0.004,0.003,1.0,0.816,1.0,
"kras$\Delta$, DNAdam, chek1i/0",20,model1100.bnet,0.814,1.0,0.865,0.002,0.002,0.002,,0.814,0.814,0.864,1.0,0.814,0.004,0.002,1.0,0.814,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",20,model1100.bnet,0.822,1.0,0.873,0.002,0.002,0.002,,0.822,0.822,0.855,1.0,0.822,0.004,0.002,1.0,0.822,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",20,model1100.bnet,0.818,1.0,0.878,0.006,0.006,0.006,,0.818,0.818,0.863,1.0,,0.008,0.006,1.0,0.818,1.0,
"wt, no DNAdam",21,model1100.bnet,,0.802,,0.052,0.052,0.052,,,,0.802,0.802,,0.052,0.052,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",21,model1100.bnet,,1.0,,0.054,0.054,0.054,,,,0.818,1.0,,0.054,0.054,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",21,model1100.bnet,0.808,1.0,0.867,0.001,0.001,0.001,0.808,0.808,0.808,0.864,1.0,0.808,0.009,0.002,1.0,0.808,1.0,
"kras$\Delta$, DNAdam, chek1i/0",21,model1100.bnet,0.808,1.0,0.872,0.004,0.004,0.004,,0.808,0.808,0.864,1.0,0.808,0.008,0.004,1.0,0.808,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",21,model1100.bnet,0.823,1.0,0.874,0.0,0.0,0.0,,0.823,0.823,0.869,1.0,0.823,0.009,0.0,1.0,0.823,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",21,model1100.bnet,0.816,1.0,0.879,0.004,0.004,0.004,,0.816,0.816,0.854,1.0,,0.009,0.004,1.0,0.816,1.0,
"wt, no DNAdam",22,model1100.bnet,,0.806,,0.04,0.04,0.04,,,,0.806,0.806,,0.04,0.04,0.806,,0.806,
"kras$\Delta$, no DNAdam, 0/0",22,model1100.bnet,,1.0,,0.046,0.046,0.046,,,,0.812,1.0,,0.046,0.046,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",22,model1100.bnet,0.818,1.0,0.885,0.0,0.0,0.0,0.818,0.818,0.818,0.874,1.0,0.818,0.007,0.0,1.0,0.818,1.0,
"kras$\Delta$, DNAdam, chek1i/0",22,model1100.bnet,0.828,1.0,0.882,0.001,0.001,0.001,,0.828,0.828,0.859,1.0,0.828,0.008,0.002,1.0,0.828,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",22,model1100.bnet,0.827,1.0,0.886,0.003,0.003,0.003,,0.827,0.827,0.868,1.0,0.827,0.009,0.003,1.0,0.827,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",22,model1100.bnet,0.828,1.0,0.888,0.0,0.0,0.0,,0.828,0.828,0.87,1.0,,0.008,0.0,1.0,0.828,1.0,
"wt, no DNAdam",23,model1100.bnet,,0.814,,0.04,0.04,0.04,,,,0.814,0.814,,0.04,0.04,0.814,,0.814,
"kras$\Delta$, no DNAdam, 0/0",23,model1100.bnet,,1.0,,0.044,0.044,0.044,,,,0.815,1.0,,0.044,0.044,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",23,model1100.bnet,0.804,1.0,0.861,0.002,0.002,0.002,0.804,0.804,0.804,0.864,1.0,0.804,0.004,0.002,1.0,0.804,1.0,
"kras$\Delta$, DNAdam, chek1i/0",23,model1100.bnet,0.832,1.0,0.887,0.001,0.001,0.001,,0.832,0.832,0.856,1.0,0.832,0.009,0.002,1.0,0.832,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",23,model1100.bnet,0.821,1.0,0.883,0.002,0.002,0.002,,0.821,0.821,0.865,1.0,0.821,0.01,0.002,1.0,0.821,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",23,model1100.bnet,0.804,1.0,0.863,0.003,0.003,0.003,,0.804,0.804,0.854,1.0,,0.011,0.003,1.0,0.804,1.0,
"wt, no DNAdam",24,model1100.bnet,,0.794,,0.054,0.054,0.054,,,,0.794,0.794,,0.054,0.054,0.794,,0.794,
"kras$\Delta$, no DNAdam, 0/0",24,model1100.bnet,,1.0,,0.058,0.058,0.058,,,,0.798,1.0,,0.058,0.058,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",24,model1100.bnet,0.794,1.0,0.853,0.002,0.002,0.002,0.794,0.794,0.794,0.852,1.0,0.794,0.008,0.004,1.0,0.794,1.0,
"kras$\Delta$, DNAdam, chek1i/0",24,model1100.bnet,0.82,1.0,0.88,0.002,0.002,0.002,,0.82,0.82,0.861,1.0,0.82,0.01,0.002,1.0,0.82,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",24,model1100.bnet,0.814,1.0,0.869,0.002,0.002,0.002,,0.814,0.814,0.862,1.0,0.814,0.011,0.002,1.0,0.814,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",24,model1100.bnet,0.814,1.0,0.874,0.001,0.001,0.001,,0.814,0.814,0.86,1.0,,0.013,0.001,1.0,0.814,1.0,
"wt, no DNAdam",25,model1100.bnet,,0.79,,0.052,0.052,0.052,,,,0.79,0.79,,0.052,0.052,0.79,,0.79,
"kras$\Delta$, no DNAdam, 0/0",25,model1100.bnet,,1.0,,0.047,0.047,0.047,,,,0.806,1.0,,0.047,0.047,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",25,model1100.bnet,0.834,1.0,0.895,0.0,0.0,0.0,0.834,0.834,0.834,0.866,1.0,0.834,0.012,0.001,1.0,0.834,1.0,
