conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38
"wt, no DNAdam",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.803,,0.0325,0.0325,0.0325,0.803,,,0.803,0.803,,0.0325,0.0325,0.803,,0.803
"kras$\Delta$, no DNAdam, 0/0",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.7995,1.0,,0.0065,0.0065,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8595,1.0,,,,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,0.0035,0.0035,0.0035,,0.0005,0.0005,0.8515,1.0,0.0005,0.0045000000000000005,0.004,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, 0/mk2i",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.87,1.0,,0.001,0.001,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",0,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.002,0.002,0.002,,,,0.874,1.0,,0.002,0.002,1.0,,1.0
"wt, no DNAdam",1,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.7945,,0.036,0.036,0.036,0.7945,,,0.7945,0.7945,,0.037,0.037,0.7945,,0.7945
"kras$\Delta$, no DNAdam, 0/0",1,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.7955,1.0,,0.01,0.01,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",1,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8555,1.0,,,,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",1,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.002,0.002,0.002,,,,0.869,1.0,,0.002,0.002,1.0,,1.0
"kras$\Delta$, DNAdam, 0/mk2i",1,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8575,1.0,,,,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",1,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.0025,0.0025,0.0025,,,,0.864,1.0,,0.0025,0.0025,1.0,,1.0
"wt, no DNAdam",2,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.7999999999999999,,0.0355,0.0355,0.0355,0.7999999999999999,,,0.7999999999999999,0.7999999999999999,,0.036,0.036,0.7999999999999999,,0.7999999999999999
"kras$\Delta$, no DNAdam, 0/0",2,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8265,1.0,,0.0045,0.0045,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",2,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8665,1.0,,,,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",2,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.0025,0.0025,0.0025,,,,0.8565,1.0,,0.0025,0.0025,1.0,,1.0
"kras$\Delta$, DNAdam, 0/mk2i",2,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8655,1.0,,,,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",2,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.003,0.003,0.003,,,,0.8485,1.0,,0.003,0.003,1.0,,1.0
"wt, no DNAdam",3,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8099999999999999,,0.0345,0.0345,0.0345,0.8099999999999999,,,0.8099999999999999,0.8099999999999999,,0.038000000000000006,0.038000000000000006,0.8099999999999999,,0.8099999999999999
"kras$\Delta$, no DNAdam, 0/0",3,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8079999999999999,1.0,,0.0195,0.0195,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",3,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.857,1.0,,0.0005,0.0005,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",3,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.0035,0.0035,0.0035,,,,0.8675,1.0,,0.0035,0.0035,1.0,,1.0
"kras$\Delta$, DNAdam, 0/mk2i",3,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.86,1.0,,0.002,0.0015,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",3,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,0.0025,0.0025,0.0025,,0.001,0.001,0.8455,1.0,,0.0035,0.0025,1.0,0.001,1.0
"wt, no DNAdam",4,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.7975,,0.029,0.029,0.029,0.7975,,,0.7975,0.7975,,0.031,0.031,0.7975,,0.7975
"kras$\Delta$, no DNAdam, 0/0",4,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8015,1.0,,0.016,0.016,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",4,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.86,1.0,,0.0005,0.0005,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",4,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.004,0.004,0.004,,,,0.8655,1.0,,0.0045000000000000005,0.0045000000000000005,1.0,,1.0
"kras$\Delta$, DNAdam, 0/mk2i",4,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.8654999999999999,1.0,,0.0005,,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",4,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0015,1.0,0.002,0.003,0.003,0.003,,0.0015,0.0015,0.8699999999999999,1.0,,0.005000000000000001,0.003,1.0,0.0015,1.0
"wt, no DNAdam",5,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8015,,0.037,0.037,0.037,0.8015,,,0.8015,0.8015,,0.039,0.039,0.8015,,0.8015
"kras$\Delta$, no DNAdam, 0/0",5,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.7939999999999999,1.0,,0.0205,0.0205,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",5,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.8575,1.0,0.0005,0.0015,0.001,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/0",5,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.0035,0.0035,0.0035,,,,0.854,1.0,,0.0035,0.0035,1.0,,1.0
"kras$\Delta$, DNAdam, 0/mk2i",5,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.8605,1.0,,0.001,0.0005,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",5,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,0.004,0.004,0.004,,0.0005,0.0005,0.861,1.0,,0.0045000000000000005,0.004,1.0,0.0005,1.0
"wt, no DNAdam",6,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.7935,,0.0305,0.0305,0.0305,0.7935,,,0.7935,0.7935,,0.0315,0.0315,0.7935,,0.7935
"kras$\Delta$, no DNAdam, 0/0",6,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.803,1.0,,0.0205,0.0205,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",6,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,0.0005,,,,1.0,,,0.86,1.0,,0.002,0.0015,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",6,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,0.0015,0.0015,0.0015,,0.001,0.001,0.8555,1.0,0.001,0.003,0.002,1.0,0.001,1.0
"kras$\Delta$, DNAdam, 0/mk2i",6,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,,,,1.0,0.001,0.001,0.866,1.0,,0.002,0.001,1.0,0.001,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",6,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,0.9999999999999999,0.0005,0.0055,0.0055,0.0055,,0.0005,0.0005,0.855,0.9999999999999999,,0.006500000000000001,0.006,0.9999999999999999,0.0005,0.9999999999999999
"wt, no DNAdam",7,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.7929999999999999,,0.0355,0.0355,0.0355,0.7929999999999999,,,0.7929999999999999,0.7929999999999999,,0.0365,0.0365,0.7929999999999999,,0.7929999999999999
"kras$\Delta$, no DNAdam, 0/0",7,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8115,1.0,,0.017499999999999998,0.017499999999999998,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",7,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,,,,1.0,0.001,0.001,0.867,1.0,0.001,0.001,,1.0,0.001,1.0
"kras$\Delta$, DNAdam, chek1i/0",7,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.002,1.0,0.002,0.0025,0.0025,0.0025,,0.002,0.002,0.8635,1.0,0.002,0.0045000000000000005,0.0025,1.0,0.002,1.0
"kras$\Delta$, DNAdam, 0/mk2i",7,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.8584999999999999,1.0,,0.0025,0.002,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",7,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0015,1.0,0.0015,0.003,0.003,0.003,,0.0015,0.0015,0.8755,1.0,,0.0045000000000000005,0.003,1.0,0.0015,1.0
"wt, no DNAdam",8,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8089999999999999,,0.033,0.033,0.033,0.8089999999999999,,,0.8089999999999999,0.8089999999999999,,0.036000000000000004,0.036000000000000004,0.8089999999999999,,0.8089999999999999
"kras$\Delta$, no DNAdam, 0/0",8,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8009999999999999,1.0,,0.016,0.016,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",8,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,,,,1.0,0.001,0.001,0.859,1.0,0.001,0.0015,0.0005,1.0,0.001,1.0
"kras$\Delta$, DNAdam, chek1i/0",8,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,0.004,0.004,0.004,,0.001,0.001,0.851,1.0,0.001,0.005,0.004,1.0,0.001,1.0
"kras$\Delta$, DNAdam, 0/mk2i",8,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0015,1.0,0.0015,,,,1.0,0.0015,0.0015,0.849,1.0,,0.002,0.0005,1.0,0.0015,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",8,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.002,1.0,0.002,0.005,0.005,0.005,,0.002,0.002,0.858,1.0,,0.007000000000000001,0.005,1.0,0.002,1.0
"wt, no DNAdam",9,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8164999999999999,,0.0275,0.0275,0.0275,0.8164999999999999,,,0.8164999999999999,0.8164999999999999,,0.0315,0.0315,0.8164999999999999,,0.8164999999999999
"kras$\Delta$, no DNAdam, 0/0",9,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8005,1.0,,0.019999999999999997,0.019999999999999997,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",9,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.8465,1.0,0.0005,0.0015,0.001,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/0",9,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,0.0025,0.0025,0.0025,,,,0.8644999999999999,1.0,,0.0025,0.0025,1.0,,1.0
"kras$\Delta$, DNAdam, 0/mk2i",9,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.864,1.0,,0.0005,0.0005,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",9,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.0015,0.003,0.003,0.003,,0.001,0.001,0.867,1.0,,0.0045000000000000005,0.003,1.0,0.001,1.0
"wt, no DNAdam",10,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.803,,0.041,0.041,0.041,0.803,,,0.803,0.803,,0.043000000000000003,0.043000000000000003,0.803,,0.803
"kras$\Delta$, no DNAdam, 0/0",10,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.805,1.0,,0.0205,0.0205,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",10,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8515,1.0,,0.0015,0.0015,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",10,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,0.004999999999999999,0.004999999999999999,0.004999999999999999,,0.0005,0.0005,0.866,1.0,0.0005,0.0055,0.004999999999999999,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, 0/mk2i",10,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.001,,,,1.0,0.001,0.001,0.8644999999999999,1.0,,0.0015,0.0005,1.0,0.001,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",10,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,0.0085,0.0085,0.0085,,0.0005,0.0005,0.87,1.0,,0.009000000000000001,0.0085,1.0,0.0005,1.0
"wt, no DNAdam",11,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8065,,0.0375,0.0375,0.0375,0.8065,,,0.8065,0.8065,,0.038,0.038,0.8065,,0.8065
"kras$\Delta$, no DNAdam, 0/0",11,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.7945,1.0,,0.0185,0.0185,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",11,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.871,1.0,0.0005,0.0005,,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/0",11,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.001,0.003,0.003,0.003,,0.0005,0.0005,0.856,1.0,0.0005,0.004,0.003,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, 0/mk2i",11,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.869,1.0,,0.0015,0.001,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",11,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,0.0035,0.0035,0.0035,,0.0005,0.0005,0.858,1.0,,0.004,0.0035,1.0,0.0005,1.0
"wt, no DNAdam",12,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8005,,0.0375,0.0375,0.0375,0.8005,,,0.8005,0.8005,,0.046,0.046,0.8005,,0.8005
"kras$\Delta$, no DNAdam, 0/0",12,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8065,1.0,,0.041,0.041,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",12,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0015,1.0,0.0015,,,,1.0,0.0015,0.0015,0.8695,1.0,0.0015,0.006,0.0045,1.0,0.0015,1.0
"kras$\Delta$, DNAdam, chek1i/0",12,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0035,1.0,0.0035,0.002,0.002,0.002,,0.0035,0.0035,0.8554999999999999,1.0,0.0035,0.0075,0.004,1.0,0.0035,1.0
"kras$\Delta$, DNAdam, 0/mk2i",12,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.004,0.9999999999999999,0.0045000000000000005,,,,0.9999999999999999,0.004,0.004,0.8554999999999999,0.9999999999999999,,0.0095,0.004999999999999999,0.9999999999999999,0.004,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/mk2i",12,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0015,0.9999999999999998,0.0015,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,,0.0015,0.0015,0.8604999999999998,0.9999999999999998,,0.006500000000000001,0.005,0.9999999999999998,0.0015,0.9999999999999998
"wt, no DNAdam",13,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8,,0.037,0.037,0.037,0.8,,,0.8,0.8,,0.0445,0.0445,0.8,,0.8
"kras$\Delta$, no DNAdam, 0/0",13,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.7979999999999999,1.0,,0.036000000000000004,0.036000000000000004,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",13,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.003,1.0,0.003,,,,1.0,0.003,0.003,0.8514999999999999,1.0,0.003,0.006500000000000001,0.0035,1.0,0.003,1.0
"kras$\Delta$, DNAdam, chek1i/0",13,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.004,0.9999999999999998,0.0045000000000000005,0.0015,0.0015,0.0015,,0.004,0.004,0.859,0.9999999999999998,0.004,0.006,0.0015,0.9999999999999998,0.004,0.9999999999999998
"kras$\Delta$, DNAdam, 0/mk2i",13,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0045000000000000005,1.0,0.0045000000000000005,,,,1.0,0.0045000000000000005,0.0045000000000000005,0.856,1.0,,0.007000000000000001,0.0025,1.0,0.0045000000000000005,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",13,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0035,1.0,0.004,0.004,0.004,0.004,,0.0035,0.0035,0.8545,1.0,,0.008,0.004,1.0,0.0035,1.0
"wt, no DNAdam",14,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8039999999999999,,0.0315,0.0315,0.0315,0.8039999999999999,,,0.8039999999999999,0.8039999999999999,,0.041999999999999996,0.041999999999999996,0.8039999999999999,,0.8039999999999999
"kras$\Delta$, no DNAdam, 0/0",14,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8155,1.0,,0.041999999999999996,0.041999999999999996,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",14,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0025,1.0,0.0025,,,,1.0,0.0025,0.0025,0.84,1.0,0.0025,0.0045000000000000005,0.002,1.0,0.0025,1.0
"kras$\Delta$, DNAdam, chek1i/0",14,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0035,1.0,0.0035,0.0025,0.0025,0.0025,,0.0035,0.0035,0.8614999999999999,1.0,0.0035,0.006,0.0025,1.0,0.0035,1.0
"kras$\Delta$, DNAdam, 0/mk2i",14,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.003,1.0,0.003,,,,1.0,0.003,0.003,0.8755,1.0,,0.005,0.002,1.0,0.003,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",14,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.003,1.0,0.003,0.002,0.002,0.002,,0.003,0.003,0.8765,1.0,,0.005,0.002,1.0,0.003,1.0
"wt, no DNAdam",15,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.801,,0.035,0.035,0.035,0.801,,,0.801,0.801,,0.0455,0.0455,0.801,,0.801
"kras$\Delta$, no DNAdam, 0/0",15,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.802,1.0,,0.0455,0.0455,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",15,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.003,1.0,0.0035,,,,1.0,0.003,0.003,0.8535,1.0,0.003,0.005,0.0015,1.0,0.003,1.0
"kras$\Delta$, DNAdam, chek1i/0",15,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.003,1.0,0.0035,0.0025,0.0025,0.0025,,0.003,0.003,0.8564999999999999,1.0,0.003,0.0095,0.006,1.0,0.003,1.0
"kras$\Delta$, DNAdam, 0/mk2i",15,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.8524999999999999,1.0,,0.003,0.0025,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",15,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.003,0.9999999999999999,0.004,0.006,0.006,0.006,,0.003,0.003,0.8644999999999999,0.9999999999999999,,0.0135,0.009500000000000001,0.9999999999999999,0.003,0.9999999999999999
"wt, no DNAdam",16,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8065,,0.0355,0.0355,0.0355,0.8065,,,0.8065,0.8065,,0.048,0.048,0.8065,,0.8065
"kras$\Delta$, no DNAdam, 0/0",16,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.7985,1.0,,0.048999999999999995,0.048999999999999995,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",16,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0035,1.0,0.0035,,,,1.0,0.0035,0.0035,0.874,1.0,0.0035,0.006,0.0025,1.0,0.0035,1.0
"kras$\Delta$, DNAdam, chek1i/0",16,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.005,1.0,0.005,0.002,0.002,0.002,,0.005,0.005,0.8535,1.0,0.005,0.008,0.003,1.0,0.005,1.0
"kras$\Delta$, DNAdam, 0/mk2i",16,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0035,1.0,0.0035,,,,1.0,0.0035,0.0035,0.847,1.0,,0.0055,0.002,1.0,0.0035,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",16,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.006,0.9999999999999999,0.006,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,,0.006,0.006,0.8469999999999999,0.9999999999999999,,0.0105,0.0045000000000000005,0.9999999999999999,0.006,0.9999999999999999
"wt, no DNAdam",17,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.802,,0.033,0.033,0.033,0.802,,,0.802,0.802,,0.0425,0.0425,0.802,,0.802
"kras$\Delta$, no DNAdam, 0/0",17,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8085,1.0,,0.04,0.04,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",17,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.003,1.0,0.003,,,,1.0,0.003,0.003,0.8775,1.0,0.003,0.0035,0.0005,1.0,0.003,1.0
"kras$\Delta$, DNAdam, chek1i/0",17,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0045000000000000005,1.0,0.005,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,,0.0045000000000000005,0.0045000000000000005,0.878,1.0,0.0045000000000000005,0.009500000000000001,0.0045000000000000005,1.0,0.0045000000000000005,1.0
"kras$\Delta$, DNAdam, 0/mk2i",17,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.004,1.0,0.004,,,,1.0,0.004,0.004,0.859,1.0,,0.006500000000000001,0.0025,1.0,0.004,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",17,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0085,0.9999999999999999,0.0085,0.0045000000000000005,0.0045000000000000005,0.0045000000000000005,,0.0085,0.0085,0.8659999999999999,0.9999999999999999,,0.013000000000000001,0.0045000000000000005,0.9999999999999999,0.0085,0.9999999999999999
"wt, no DNAdam",18,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,0.8125,,0.0375,0.0375,0.0375,0.8125,,,0.8125,0.8125,,0.0435,0.0435,0.8125,,0.8125
"kras$\Delta$, no DNAdam, 0/0",18,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.8059999999999999,1.0,,0.023,0.023,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",18,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.001,1.0,0.0015,,,,1.0,0.001,0.001,0.8695,1.0,0.001,0.0025,0.001,1.0,0.001,1.0
"kras$\Delta$, DNAdam, chek1i/0",18,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0005,1.0,0.0005,0.0035,0.0035,0.0035,,0.0005,0.0005,0.8535,1.0,0.0005,0.005,0.0045000000000000005,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, 0/mk2i",18,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,,1.0,,,,,1.0,,,0.86,1.0,,0.002,0.002,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",18,krasreduced_dnarep_simplif_mitot_catast_chek1ATMATR.bnet,0.0025,0.9999999999999999,0.0025,0.002,0.002,0.002,,0.0025,0.0025,0.867,0.9999999999999999,,0.005,0.0025,0.9999999999999999,0.0025,0.9999999999999999
