chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value,log2_scaled_value,scaled_value,scaled_value_no_etop,scaled_value_no_etop_across_samples,trunc_variable
0,0,0,DMSO,SW948,wes,NA,pCDC25B_S323,1,0.629,0.592,0.592,0.522,pCDC25B
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pCDC25B_S323,0.819,0,0,0,0.214,pCDC25B
1,0,0,1µM Chk1i,SW948,wes,NA,pCDC25B_S323,1.125,1,1,1,0.735,pCDC25B
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pCDC25B_S323,1.048,0.777,0.748,0.748,0.604,pCDC25B
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC25B_S323,0.836,0.065,0.056,0.056,0.243,pCDC25B
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC25B_S323,0.934,0.414,0.376,0.376,0.41,pCDC25B
0,0,0,DMSO,HCT116,wes,NA,pCDC2_Tyr15,1,0.888,0.84,1,0.81,pCDC2
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pCDC2_Tyr15,0.705,0.488,0.381,0.454,0.451,pCDC2
1,0,0,1µM Chk1i,HCT116,wes,NA,pCDC2_Tyr15,0.724,0.519,0.411,0.489,0.474,pCDC2
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pCDC2_Tyr15,0.885,0.748,0.661,0.787,0.67,pCDC2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDC2_Tyr15,0.684,0.454,0.348,0.415,0.426,pCDC2
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDC2_Tyr15,0.46,0,0,0,0.153,pCDC2
0,0,0,DMSO,SW620,wes,NA,pCDC2_Tyr15,1,0.798,0.675,1,0.81,pCDC2
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pCDC2_Tyr15,0.663,0.499,0.334,0.494,0.4,pCDC2
1,0,0,1µM Chk1i,SW620,wes,NA,pCDC2_Tyr15,0.581,0.403,0.251,0.371,0.3,pCDC2
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pCDC2_Tyr15,0.842,0.673,0.515,0.763,0.618,pCDC2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDC2_Tyr15,0.641,0.474,0.311,0.461,0.373,pCDC2
