chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value,log2_scaled_value,scaled_value,scaled_value_no_etop,scaled_value_no_etop_across_samples,trunc_variable
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,Cleaved_Caspase_3_72h,31.1,NA,NA,NA,NA,Cleaved
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,Cleaved_Caspase_3_72h,45,NA,NA,NA,NA,Cleaved
0,0,0,DMSO,HCT116,facs,24,pHistone_H3_24h,8.31,NA,NA,NA,NA,pHistone
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,pHistone_H3_24h,10.2,NA,NA,NA,NA,pHistone
1,0,0,1µM Chk1i,HCT116,facs,24,pHistone_H3_24h,3.62,NA,NA,NA,NA,pHistone
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,pHistone_H3_24h,3.24,NA,NA,NA,NA,pHistone
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,pHistone_H3_24h,4.88,NA,NA,NA,NA,pHistone
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,pHistone_H3_24h,0.31,NA,NA,NA,NA,pHistone
0,0,0,DMSO,SW620,facs,24,pHistone_H3_24h,3.58,NA,NA,NA,NA,pHistone
0.5,0,0,0.5µM Chk1i,SW620,facs,24,pHistone_H3_24h,4.57,NA,NA,NA,NA,pHistone
1,0,0,1µM Chk1i,SW620,facs,24,pHistone_H3_24h,4.65,NA,NA,NA,NA,pHistone
0,2.5,0,2.5µM Mk2i,SW620,facs,24,pHistone_H3_24h,3.12,NA,NA,NA,NA,pHistone
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,pHistone_H3_24h,3.34,NA,NA,NA,NA,pHistone
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,pHistone_H3_24h,2.1,NA,NA,NA,NA,pHistone
0,0,0,DMSO,SW948,facs,24,pHistone_H3_24h,2.84,NA,NA,NA,NA,pHistone
0.5,0,0,0.5µM Chk1i,SW948,facs,24,pHistone_H3_24h,2.69,NA,NA,NA,NA,pHistone
1,0,0,1µM Chk1i,SW948,facs,24,pHistone_H3_24h,3.78,NA,NA,NA,NA,pHistone
0,2.5,0,2.5µM Mk2i,SW948,facs,24,pHistone_H3_24h,1.16,NA,NA,NA,NA,pHistone
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,pHistone_H3_24h,2.1,NA,NA,NA,NA,pHistone
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,pHistone_H3_24h,1.69,NA,NA,NA,NA,pHistone
0,0,0,DMSO,HCT116,facs,48,pHistone_H3_48h,2.64,NA,NA,NA,NA,pHistone
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,pHistone_H3_48h,3.91,NA,NA,NA,NA,pHistone
1,0,0,1µM Chk1i,HCT116,facs,48,pHistone_H3_48h,1.62,NA,NA,NA,NA,pHistone
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,pHistone_H3_48h,2.24,NA,NA,NA,NA,pHistone
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,pHistone_H3_48h,1.24,NA,NA,NA,NA,pHistone
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,pHistone_H3_48h,0.14,NA,NA,NA,NA,pHistone
0,0,0,DMSO,SW620,facs,48,pHistone_H3_48h,2.44,NA,NA,NA,NA,pHistone
0.5,0,0,0.5µM Chk1i,SW620,facs,48,pHistone_H3_48h,3.52,NA,NA,NA,NA,pHistone
1,0,0,1µM Chk1i,SW620,facs,48,pHistone_H3_48h,4.09,NA,NA,NA,NA,pHistone
0,2.5,0,2.5µM Mk2i,SW620,facs,48,pHistone_H3_48h,2.41,NA,NA,NA,NA,pHistone
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,pHistone_H3_48h,3.44,NA,NA,NA,NA,pHistone
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,pHistone_H3_48h,2.73,NA,NA,NA,NA,pHistone
0,0,0,DMSO,SW948,facs,48,pHistone_H3_48h,3.97,NA,NA,NA,NA,pHistone
0.5,0,0,0.5µM Chk1i,SW948,facs,48,pHistone_H3_48h,2.78,NA,NA,NA,NA,pHistone
1,0,0,1µM Chk1i,SW948,facs,48,pHistone_H3_48h,3.26,NA,NA,NA,NA,pHistone
0,2.5,0,2.5µM Mk2i,SW948,facs,48,pHistone_H3_48h,2.48,NA,NA,NA,NA,pHistone
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,pHistone_H3_48h,2.73,NA,NA,NA,NA,pHistone
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,pHistone_H3_48h,2.79,NA,NA,NA,NA,pHistone
0,0,0,DMSO,HCT116,facs,72,pHistone_H3_72h,2.25,NA,NA,NA,NA,pHistone
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,pHistone_H3_72h,2.64,NA,NA,NA,NA,pHistone
1,0,0,1µM Chk1i,HCT116,facs,72,pHistone_H3_72h,1.05,NA,NA,NA,NA,pHistone
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,pHistone_H3_72h,2.6,NA,NA,NA,NA,pHistone
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,pHistone_H3_72h,0.44,NA,NA,NA,NA,pHistone
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,pHistone_H3_72h,0.21,NA,NA,NA,NA,pHistone
0,0,0,DMSO,SW620,facs,72,pHistone_H3_72h,2.22,NA,NA,NA,NA,pHistone
0.5,0,0,0.5µM Chk1i,SW620,facs,72,pHistone_H3_72h,2.81,NA,NA,NA,NA,pHistone
1,0,0,1µM Chk1i,SW620,facs,72,pHistone_H3_72h,3.08,NA,NA,NA,NA,pHistone
0,2.5,0,2.5µM Mk2i,SW620,facs,72,pHistone_H3_72h,2.59,NA,NA,NA,NA,pHistone
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,pHistone_H3_72h,3.82,NA,NA,NA,NA,pHistone
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,pHistone_H3_72h,3.9,NA,NA,NA,NA,pHistone
0,0,0,DMSO,SW948,facs,72,pHistone_H3_72h,3.88,NA,NA,NA,NA,pHistone
0.5,0,0,0.5µM Chk1i,SW948,facs,72,pHistone_H3_72h,4.25,NA,NA,NA,NA,pHistone
1,0,0,1µM Chk1i,SW948,facs,72,pHistone_H3_72h,3.66,NA,NA,NA,NA,pHistone
0,2.5,0,2.5µM Mk2i,SW948,facs,72,pHistone_H3_72h,3.42,NA,NA,NA,NA,pHistone
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,pHistone_H3_72h,4.59,NA,NA,NA,NA,pHistone
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,pHistone_H3_72h,3.8,NA,NA,NA,NA,pHistone
0,0,0,DMSO,HCT116,facs,24,yH2AX_24h,6.9,NA,NA,NA,NA,yH2AX
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,yH2AX_24h,16.6,NA,NA,NA,NA,yH2AX
1,0,0,1µM Chk1i,HCT116,facs,24,yH2AX_24h,17,NA,NA,NA,NA,yH2AX
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,yH2AX_24h,3.02,NA,NA,NA,NA,yH2AX
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,yH2AX_24h,19.6,NA,NA,NA,NA,yH2AX
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,yH2AX_24h,25.1,NA,NA,NA,NA,yH2AX
0,0,0,DMSO,SW620,facs,24,yH2AX_24h,3.76,NA,NA,NA,NA,yH2AX
0.5,0,0,0.5µM Chk1i,SW620,facs,24,yH2AX_24h,13.3,NA,NA,NA,NA,yH2AX
1,0,0,1µM Chk1i,SW620,facs,24,yH2AX_24h,17,NA,NA,NA,NA,yH2AX
0,2.5,0,2.5µM Mk2i,SW620,facs,24,yH2AX_24h,6.63,NA,NA,NA,NA,yH2AX
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,yH2AX_24h,20.3,NA,NA,NA,NA,yH2AX
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,yH2AX_24h,49.6,NA,NA,NA,NA,yH2AX
0,0,0,DMSO,SW948,facs,24,yH2AX_24h,0.24,NA,NA,NA,NA,yH2AX
0.5,0,0,0.5µM Chk1i,SW948,facs,24,yH2AX_24h,1.11,NA,NA,NA,NA,yH2AX
1,0,0,1µM Chk1i,SW948,facs,24,yH2AX_24h,3.7,NA,NA,NA,NA,yH2AX
0,2.5,0,2.5µM Mk2i,SW948,facs,24,yH2AX_24h,1.55,NA,NA,NA,NA,yH2AX
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,yH2AX_24h,1.94,NA,NA,NA,NA,yH2AX
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,yH2AX_24h,2,NA,NA,NA,NA,yH2AX
0,0,0,DMSO,HCT116,facs,48,yH2AX_48h,3.1,NA,NA,NA,NA,yH2AX
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,yH2AX_48h,22.2,NA,NA,NA,NA,yH2AX
1,0,0,1µM Chk1i,HCT116,facs,48,yH2AX_48h,28.4,NA,NA,NA,NA,yH2AX
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,yH2AX_48h,2.61,NA,NA,NA,NA,yH2AX
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,yH2AX_48h,25.1,NA,NA,NA,NA,yH2AX
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,yH2AX_48h,34.9,NA,NA,NA,NA,yH2AX
0,0,0,DMSO,SW620,facs,48,yH2AX_48h,2.15,NA,NA,NA,NA,yH2AX
0.5,0,0,0.5µM Chk1i,SW620,facs,48,yH2AX_48h,3.66,NA,NA,NA,NA,yH2AX
1,0,0,1µM Chk1i,SW620,facs,48,yH2AX_48h,8.76,NA,NA,NA,NA,yH2AX
0,2.5,0,2.5µM Mk2i,SW620,facs,48,yH2AX_48h,2.73,NA,NA,NA,NA,yH2AX
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,yH2AX_48h,8.83,NA,NA,NA,NA,yH2AX
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,yH2AX_48h,32.4,NA,NA,NA,NA,yH2AX
0,0,0,DMSO,SW948,facs,48,yH2AX_48h,0.21,NA,NA,NA,NA,yH2AX
0.5,0,0,0.5µM Chk1i,SW948,facs,48,yH2AX_48h,1.51,NA,NA,NA,NA,yH2AX
1,0,0,1µM Chk1i,SW948,facs,48,yH2AX_48h,2.86,NA,NA,NA,NA,yH2AX
0,2.5,0,2.5µM Mk2i,SW948,facs,48,yH2AX_48h,0.47,NA,NA,NA,NA,yH2AX
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,yH2AX_48h,1.47,NA,NA,NA,NA,yH2AX
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,yH2AX_48h,2.35,NA,NA,NA,NA,yH2AX
0,0,0,DMSO,HCT116,facs,72,yH2AX_72h,0.69,NA,NA,NA,NA,yH2AX
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,yH2AX_72h,9.63,NA,NA,NA,NA,yH2AX
1,0,0,1µM Chk1i,HCT116,facs,72,yH2AX_72h,19.6,NA,NA,NA,NA,yH2AX
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,yH2AX_72h,0.56,NA,NA,NA,NA,yH2AX
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,yH2AX_72h,19.8,NA,NA,NA,NA,yH2AX
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,yH2AX_72h,21.3,NA,NA,NA,NA,yH2AX
0,0,0,DMSO,SW620,facs,72,yH2AX_72h,1.84,NA,NA,NA,NA,yH2AX
0.5,0,0,0.5µM Chk1i,SW620,facs,72,yH2AX_72h,3.02,NA,NA,NA,NA,yH2AX
1,0,0,1µM Chk1i,SW620,facs,72,yH2AX_72h,5.24,NA,NA,NA,NA,yH2AX
0,2.5,0,2.5µM Mk2i,SW620,facs,72,yH2AX_72h,1.71,NA,NA,NA,NA,yH2AX
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,yH2AX_72h,3.72,NA,NA,NA,NA,yH2AX
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,yH2AX_72h,15.4,NA,NA,NA,NA,yH2AX
0,0,0,DMSO,SW948,facs,72,yH2AX_72h,0.14,NA,NA,NA,NA,yH2AX
0.5,0,0,0.5µM Chk1i,SW948,facs,72,yH2AX_72h,0.63,NA,NA,NA,NA,yH2AX
1,0,0,1µM Chk1i,SW948,facs,72,yH2AX_72h,1.03,NA,NA,NA,NA,yH2AX
0,2.5,0,2.5µM Mk2i,SW948,facs,72,yH2AX_72h,0.11,NA,NA,NA,NA,yH2AX
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,yH2AX_72h,0.73,NA,NA,NA,NA,yH2AX
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,yH2AX_72h,2.73,NA,NA,NA,NA,yH2AX
0,0,0,DMSO,HCT116,facs,24,BrDU_G0_G1_24h,24.8,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,BrDU_G0_G1_24h,23.5,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,24,BrDU_G0_G1_24h,10.8,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,BrDU_G0_G1_24h,24.4,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_G0_G1_24h,11.3,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_G0_G1_24h,7.25,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,24,BrDU_G0_G1_24h,38.5,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,24,BrDU_G0_G1_24h,42.4,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,24,BrDU_G0_G1_24h,32.4,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,24,BrDU_G0_G1_24h,31.9,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_G0_G1_24h,26.2,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_G0_G1_24h,8.67,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,24,BrDU_G0_G1_24h,42.3,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,24,BrDU_G0_G1_24h,40.4,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,24,BrDU_G0_G1_24h,40.1,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,24,BrDU_G0_G1_24h,35.1,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_G0_G1_24h,38.8,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_G0_G1_24h,33.8,NA,NA,NA,NA,BrDU
0,0,0,DMSO,HCT116,facs,48,BrDU_G0_G1_48h,25.6,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,BrDU_G0_G1_48h,26.3,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,48,BrDU_G0_G1_48h,13.1,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,BrDU_G0_G1_48h,26.5,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_G0_G1_48h,9.01,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_G0_G1_48h,6.68,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,48,BrDU_G0_G1_48h,46.7,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,48,BrDU_G0_G1_48h,50.7,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,48,BrDU_G0_G1_48h,44.2,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,48,BrDU_G0_G1_48h,42.4,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_G0_G1_48h,32.9,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_G0_G1_48h,23,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,48,BrDU_G0_G1_48h,48.9,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,48,BrDU_G0_G1_48h,50.5,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,48,BrDU_G0_G1_48h,47.9,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,48,BrDU_G0_G1_48h,46.8,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_G0_G1_48h,54.1,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_G0_G1_48h,46.6,NA,NA,NA,NA,BrDU
0,0,0,DMSO,HCT116,facs,72,BrDU_G0_G1_72h,45.5,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,BrDU_G0_G1_72h,34.7,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,72,BrDU_G0_G1_72h,17,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,BrDU_G0_G1_72h,41.2,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_G0_G1_72h,9.89,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_G0_G1_72h,8.58,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,72,BrDU_G0_G1_72h,52.7,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,72,BrDU_G0_G1_72h,53,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,72,BrDU_G0_G1_72h,51.2,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,72,BrDU_G0_G1_72h,42.2,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_G0_G1_72h,39.3,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_G0_G1_72h,28.5,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,72,BrDU_G0_G1_72h,53.1,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,72,BrDU_G0_G1_72h,53.6,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,72,BrDU_G0_G1_72h,54.2,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,72,BrDU_G0_G1_72h,48.4,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_G0_G1_72h,51.5,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_G0_G1_72h,49.1,NA,NA,NA,NA,BrDU
0,0,0,DMSO,HCT116,facs,24,BrDU_G2_M_24h,25.2,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,BrDU_G2_M_24h,48.8,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,24,BrDU_G2_M_24h,72.9,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,BrDU_G2_M_24h,22.9,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_G2_M_24h,71.1,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_G2_M_24h,74.8,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,24,BrDU_G2_M_24h,8.41,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,24,BrDU_G2_M_24h,9.44,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,24,BrDU_G2_M_24h,27.6,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,24,BrDU_G2_M_24h,10.3,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_G2_M_24h,24.8,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_G2_M_24h,65.6,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,24,BrDU_G2_M_24h,22.7,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,24,BrDU_G2_M_24h,21.7,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,24,BrDU_G2_M_24h,23.4,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,24,BrDU_G2_M_24h,28,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_G2_M_24h,26.3,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_G2_M_24h,29.3,NA,NA,NA,NA,BrDU
0,0,0,DMSO,HCT116,facs,48,BrDU_G2_M_48h,25.4,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,BrDU_G2_M_48h,50.8,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,48,BrDU_G2_M_48h,71.9,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,BrDU_G2_M_48h,25.3,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_G2_M_48h,76.5,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_G2_M_48h,78.3,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,48,BrDU_G2_M_48h,8.11,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,48,BrDU_G2_M_48h,7.52,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,48,BrDU_G2_M_48h,17.9,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,48,BrDU_G2_M_48h,16,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_G2_M_48h,17.4,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_G2_M_48h,31.5,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,48,BrDU_G2_M_48h,20.7,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,48,BrDU_G2_M_48h,20,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,48,BrDU_G2_M_48h,23.7,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,48,BrDU_G2_M_48h,25.8,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_G2_M_48h,17,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_G2_M_48h,24.3,NA,NA,NA,NA,BrDU
0,0,0,DMSO,HCT116,facs,72,BrDU_G2_M_72h,20.2,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,BrDU_G2_M_72h,40.6,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,72,BrDU_G2_M_72h,64.3,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,BrDU_G2_M_72h,19.7,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_G2_M_72h,71.8,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_G2_M_72h,69.1,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,72,BrDU_G2_M_72h,14.3,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,72,BrDU_G2_M_72h,9.26,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,72,BrDU_G2_M_72h,8.91,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,72,BrDU_G2_M_72h,8.76,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_G2_M_72h,14.7,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_G2_M_72h,29.8,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,72,BrDU_G2_M_72h,18.8,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,72,BrDU_G2_M_72h,20.1,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,72,BrDU_G2_M_72h,20.7,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,72,BrDU_G2_M_72h,22.9,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_G2_M_72h,23.6,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_G2_M_72h,22.1,NA,NA,NA,NA,BrDU
