chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pCDC2_Tyr15,0.663
1,0,0,1µM Chk1i,SW620,wes,NA,pCDC2_Tyr15,0.581
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pCDC2_Tyr15,0.842
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDC2_Tyr15,0.641
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDC2_Tyr15,0.334
0,0,42,42µM etoposide (2h),SW620,wes,NA,pCDC2_Tyr15,1.32
0,0,0,DMSO,SW948,wes,NA,pCDC2_Tyr15,1
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pCDC2_Tyr15,1
1,0,0,1µM Chk1i,SW948,wes,NA,pCDC2_Tyr15,1.058
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pCDC2_Tyr15,0.912
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC2_Tyr15,0.846
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC2_Tyr15,1.156
0,0,42,42µM etoposide (2h),SW948,wes,NA,pCDC2_Tyr15,1.826
0,0,0,DMSO,HCT116,wes,NA,pCDK2_T14,1
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pCDK2_T14,1.066
1,0,0,1µM Chk1i,HCT116,wes,NA,pCDK2_T14,1.272
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pCDK2_T14,1.271
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDK2_T14,1.491
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDK2_T14,1.275
0,0,42,42µM etoposide (2h),HCT116,wes,NA,pCDK2_T14,1.107
0,0,0,DMSO,SW620,wes,NA,pCDK2_T14,1
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pCDK2_T14,0.759
1,0,0,1µM Chk1i,SW620,wes,NA,pCDK2_T14,0.723
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pCDK2_T14,1.137
