mk2,chek1,cell_line,value,bliss_syn,bliss_area_maxmk2,bliss_area_maxchek1,loewe_syn_linear,loewe_syn
0,0,Caco2,1,NA,0.023864622057001128,0.2556882951653936,NA,NA
0,0.25,Caco2,0.7126666666666667,NA,0.023864622057001128,0.2556882951653936,NA,NA
0,0.5,Caco2,0.8206666666666667,NA,0.023864622057001128,0.2556882951653936,NA,NA
0,1,Caco2,0.536,NA,0.023864622057001128,0.2556882951653936,NA,NA
0,2.5,Caco2,0.5463333333333333,NA,0.023864622057001128,0.2556882951653936,NA,NA
0,5,Caco2,0.524,NA,0.023864622057001128,0.2556882951653936,NA,NA
0.5,0,Caco2,0.8119999999999999,NA,0.023864622057001128,0.2556882951653936,NA,NA
0.5,0.25,Caco2,0.583,0.004314666666666689,0.023864622057001128,0.2556882951653936,1.1398880895283772,NaN
0.5,0.5,Caco2,0.5506666666666666,-0.11571466666666663,0.023864622057001128,0.2556882951653936,0.8175074183976263,NaN
0.5,1,Caco2,0.4073333333333333,-0.027898666666666683,0.023864622057001128,0.2556882951653936,1.1001124859392577,NaN
0.5,2.5,Caco2,0.44866666666666666,0.005043999999999993,0.023864622057001128,0.2556882951653936,1.1638452237001211,NaN
0.5,5,Caco2,0.4686666666666667,0.0431786666666667,0.023864622057001128,0.2556882951653936,1.2496863237139273,NaN
1,0,Caco2,0.7476666666666667,NA,0.023864622057001128,0.2556882951653936,NA,NA
1,0.25,Caco2,0.44733333333333336,-0.08550377777777773,0.023864622057001128,0.2556882951653936,0.9764776839565742,NaN
1,0.5,Caco2,0.47433333333333333,-0.1392517777777778,0.023864622057001128,0.2556882951653936,0.8211794546607482,NaN
1,1,Caco2,0.38966666666666666,-0.01108266666666674,0.023864622057001128,0.2556882951653936,1.1736755871108682,NaN
1,2.5,Caco2,0.418,0.009524777777777715,0.023864622057001128,0.2556882951653936,1.213058419243986,NaN
1,5,Caco2,0.45733333333333337,0.065556,0.023864622057001128,0.2556882951653936,1.342137592137592,NaN
2.5,0,Caco2,0.7676666666666667,NA,0.023864622057001128,0.2556882951653936,NA,NA
2.5,0.25,Caco2,0.489,-0.058090444444444445,0.023864622057001128,0.2556882951653936,1.0169602087410305,NaN
