cell_line,bliss_syn,loewe_syn_linear,loewe_syn,synergy_area_restrict_pred_mk2,synergy_area_finite_inner_pred_mk2,synergy_area_finite_outer_pred_mk2,synergy_area_broad_pred_mk2,synergy_area_restrict_pred_chek1,synergy_area_finite_inner_pred_chek1,synergy_area_finite_outer_pred_chek1,synergy_area_broad_pred_chek1
Caco2,-0.01921426666666667,1.098809810300303,NA,0.16860833808631526,13.28632617162765,21.700809604492576,14.30384151925648,-0.5569732553695985,-0.48614705996391194,-0.24333025643176143,-0.48614705996391194
Caco2et KRASG12V pool- -3rep,-0.027656066666666663,1.1028587170366164,NA,NA,NA,NA,2.8206000000000273,0.5318687606086598,0.5318687606086598,0.5318687606086598,0.5318687606086598
Caco2etKRASwtpool-,-0.0191317777777778,1.0867657900332008,NA,NA,NA,NA,8.516530000000103,-4.729295801260946,-4.729295801260946,-4.729295801260946,-4.729295801260946
Caco2etKRASwtpool+dox,-0.009289866666666664,1.0721020391328675,NA,0.8642474100986988,0.8433003873292364,0.8486651258616007,0.8433003873292364,-0.632611651803586,4.641848226354568,377.3392382383297,4.841848226354841
Caco2KRASpool+,-0.08022405555555558,1.0320902713639573,NA,NA,NA,NA,0.7897500000000548,NA,NA,NA,17.64919999999995
Car1,-0.08770533333333334,0.9404161588224828,NA,0.02793122780563362,0.02793122780563362,0.02793122780563362,0.03166913196160559,-0.17411544412352953,-0.17411544412352953,-0.17411544412352953,-0.17411544412352953
DLD1et_wt,-0.06251992222222222,0.9487960890126587,NA,0.4666656611835833,0.5316310807607394,0.5878176754012614,0.5316310807607394,0.4286126131636365,0.4286126131636365,0.4286126131636365,0.4286126131636365
DLD1etKRASG13D,-0.025274266666666653,1.109286574460559,NA,NA,NA,NA,0.040299999999979796,-0.3266399525310817,-0.3266399525310817,-0.3266399525310817,-0.3266399525310817
DLD1mut,-0.014860700000000022,1.3447940977536303,1.6043020611242,-0.0185416667419549,-0.0185416667419549,-0.0185416667419549,-0.0185416667419549,0.5194150106340203,0.5194150106340203,0.5194150106340203,0.5194150106340203
DLD1wt,-0.004638318750000025,1.1294115982507398,NA,-0.07775622245377534,10.761381879861574,948.3788770463732,10.761381879861574,8.48117083478428e-4,8.48117083478428e-4,8.48117083478428e-4,8.48117083478428e-4
HCEC-1ct,-0.02250348888888888,0.9918698903165116,NA,0.0068760403889920885,0.0068760403889920885,0.0068760403889920885,0.01508675990397168,-0.47335723639096017,-0.47335723639096017,-0.47335723639096017,-0.47335723639096017
HCT116,-0.055571090625,1.0244363394081615,NA,0.18993369862898568,0.3689898124069373,0.8600892341641995,0.4466398124069393,-0.08483789630633964,-0.08483789630633964,-0.08483789630633964,-0.08483789630633964
HT29typ,0.05575875,1.17432165450713,NA,0,0,0,0,-0.3484389615728247,-0.3484389615728247,-0.3484389615728247,-0.3484389615728247
LS180,-0.06658751111111111,0.9463741950590182,NA,NA,NA,NA,20.45644999999979,-0.9137376320406361,-0.9137376320406361,-0.9137376320406361,-0.9137376320406361
SW403,-0.15584815555555556,0.8161797667915633,NA,NA,NA,NA,23.904349999999994,NA,NA,NA,24.124500000000012
SW48-,-0.012293022222222215,1.1771657067973142,NA,-0.05265283390026876,-0.05265283390026876,-0.05265283390026876,-0.05265283390026876,-0.17169096465799782,-0.17169096465799782,-0.17169096465799782,-0.17169096465799782
SW480,-0.08317889444444446,0.8757865500228282,NA,NA,NA,NA,8.679599999999994,2.5642668004326197,2.5642668004326197,2.5642668004326197,2.5642668004326197
SW620,-0.02071161666666666,1.0808463750089559,NA,-0.1739240780632949,-0.1739240780632949,-0.1739240780632949,-0.1739240780632949,-0.615517369722852,-0.615517369722852,-0.615517369722852,-0.615517369722852
SW837,0.021777699999999983,1.1776515208116596,NA,-0.0556130619060089,-0.0556130619060089,-0.0556130619060089,-0.0556130619060089,-0.4326086423706954,-0.4326086423706954,-0.4326086423706954,-0.4326086423706954
SW948 (3rep),0.0037093111111110937,1.281293747441115,1.8595110555630985,0.5113885635035444,0.5113885635035444,0.5113885635035444,0.5113885635035444,-2.978123862495295,-2.526062888776096,-0.5838550793623654,-2.461312888775865
WiDR,0.04536972222222221,1.2997702248511493,NA,-0.1447036496501577,-0.1447036496501577,-0.1447036496501577,-0.1447036496501577,-0.3905742433747932,-0.3905742433747932,-0.3905742433747932,-0.3905742433747932
