node,HGNC
p38,MAPK14;MAPK11;MAPK12;MAPK13
JNK,MAPK8
ERK,MAPK1;MAPK3
mTORC1,MTOR
mTORC2,MTOR
PI3K,PIK3CA;PIK3CB…
MEK,MAP2K1...MAP2K7
MK2,MAPKAPK2
p53,TP53
CDC25B_C,CDC25B;CDC25C
CDK4_6,CDK4;CDK6
p21,CDKN1A
